stribID,NameInRealtorsData,GEOID,FullName,CityName,ZillowName,COUNTY,STATE,subdiv_geoid,subdiv_full_name,multiplecounties,location,County13,type,neighborhoodname
117,Kilkenny,16000US2733110,"Kilkenny, MN",Kilkenny,,Le Sueur,MN,06000US2707933110,"Kilkenny city, Le Sueur County, MN",,Exurbs,n,city,
118,Kasota,16000US2732462,"Kasota, MN",Kasota,,Le Sueur,MN,06000US2707932462,"Kasota city, Le Sueur County, MN",,Exurbs,n,city,
119,Elysian,16000US2719160,"Elysian, MN",Elysian,,Le Sueur,MN,06000US2707919160,"Elysian city, Le Sueur County, MN",,Exurbs,n,city,
120,Cleveland,16000US2711872,"Cleveland, MN",Cleveland,,Le Sueur,MN,06000US2707911872,"Cleveland city, Le Sueur County, MN",,Exurbs,n,city,
121,New Prague,16000US2745808,"New Prague, MN",New Prague,New Prague,"Le Sueur, Scott",MN,06000US2713945808,"New Prague city, Scott County, MN",2,Exurbs,n,city,
122,Le Sueur,16000US2736746,"Le Sueur, MN",Le Sueur,,"Le Sueur, Sibley",MN,06000US2707936746,"Le Sueur city, Le Sueur County, MN",3,Exurbs,n,city,
123,Henderson,16000US2728394,"Henderson, MN",Henderson,,"Le Sueur, Sibley",MN,06000US2714328394,"Henderson city, Sibley County, MN",,Exurbs,n,city,
124,Wahkon,16000US2767558,"Wahkon, MN",Wahkon,Wahkon,Mille Lacs,MN,06000US2709567558,"Wahkon city, Mille Lacs County, MN",,Exurbs,n,city,
125,Pease,16000US2750056,"Pease, MN",Pease,Pease,Mille Lacs,MN,06000US2709550056,"Pease city, Mille Lacs County, MN",,Exurbs,n,city,
126,Onamia,16000US2748310,"Onamia, MN",Onamia,Onamia,Mille Lacs,MN,06000US2709548310,"Onamia city, Mille Lacs County, MN",,Exurbs,n,city,
127,Isle,16000US2731472,"Isle, MN",Isle,Isle,Mille Lacs,MN,06000US2709531472,"Isle city, Mille Lacs County, MN",,Exurbs,n,city,
128,Foreston,16000US2721824,"Foreston, MN",Foreston,Foreston,Mille Lacs,MN,06000US2709521824,"Foreston city, Mille Lacs County, MN",,Exurbs,n,city,
129,Bock,16000US2706814,"Bock, MN",Bock,Bock,Mille Lacs,MN,06000US2709506814,"Bock city, Mille Lacs County, MN",,Exurbs,n,city,
130,Milaca,16000US2742110,"Milaca, MN",Milaca,Milaca,"Mille Lacs, Isanti",MN,06000US2709542110,"Milaca city, Mille Lacs County, MN",2,Exurbs,n,city,
131,Prescott,16000US5565375,"Prescott, WI",Prescott,Prescott,Pierce,WI,06000US5509365375,"Prescott city, Pierce County, WI",,Exurbs,n,city,
132,Plum City,16000US5563600,"Plum City, WI",Plum City,Plum City,Pierce,WI,06000US5509363600,"Plum City village, Pierce County, WI",,Exurbs,n,city,
133,Maiden Rock,16000US5548175,"Maiden Rock, WI",Maiden Rock,Maiden Rock,Pierce,WI,06000US5509348175,"Maiden Rock village, Pierce County, WI",,Exurbs,n,city,
134,Elmwood,16000US5523700,"Elmwood, WI",Elmwood,Elmwood,Pierce,WI,06000US5509323700,"Elmwood village, Pierce County, WI",,Exurbs,n,city,
135,Ellsworth,16000US5523525,"Ellsworth, WI",Ellsworth,Ellsworth,Pierce,WI,06000US5509323525,"Ellsworth village, Pierce County, WI",,Exurbs,n,city,
136,Diamond Bluff,16000US5520125,"Diamond Bluff, WI",Diamond Bluff,,Pierce,WI,06000US5509320150,"Diamond Bluff town, Pierce County, WI",,Exurbs,n,city,
137,Bay City,16000US5505325,"Bay City, WI",Bay City,Bay City,Pierce,WI,06000US5509305325,"Bay City village, Pierce County, WI",,Exurbs,n,city,
138,Spring Valley,16000US5576300,"Spring Valley, WI",Spring Valley,Spring Valley,"Pierce, St. Croix",WI,06000US5509376300,"Spring Valley village, Pierce County, WI",2,Exurbs,n,city,
139,River Falls,16000US5568275,"River Falls, WI",River Falls,River Falls,"Pierce, St. Croix",WI,06000US5509368275,"River Falls city, Pierce County, WI",2,Exurbs,y,city,
140,Vadnais Heights,16000US2766460,"Vadnais Heights, MN",Vadnais Heights,Vadnais Heights,Ramsey,MN,06000US2712366460,"Vadnais Heights city, Ramsey County, MN",,inner suburbs,y,city,
141,Shoreview,16000US2759998,"Shoreview, MN",Shoreview,Shoreview,Ramsey,MN,06000US2712359998,"Shoreview city, Ramsey County, MN",,inner suburbs,y,city,
142,Roseville,16000US2755852,"Roseville, MN",Roseville,Roseville,Ramsey,MN,06000US2712355852,"Roseville city, Ramsey County, MN",,inner suburbs,y,city,
143,North Saint Paul,16000US2747221,"North St. Paul, MN",North St. Paul,,Ramsey,MN,06000US2712347221,"North St. Paul city, Ramsey County, MN",,inner suburbs,y,city,
144,North Oaks,16000US2747104,"North Oaks, MN",North Oaks,,Ramsey,MN,06000US2712347104,"North Oaks city, Ramsey County, MN",,inner suburbs,y,city,
145,New Brighton,16000US2745430,"New Brighton, MN",New Brighton,New Brighton,Ramsey,MN,06000US2712345430,"New Brighton city, Ramsey County, MN",,inner suburbs,y,city,
146,Mounds View,16000US2744530,"Mounds View, MN",Mounds View,,Ramsey,MN,06000US2712344530,"Mounds View city, Ramsey County, MN",,inner suburbs,y,city,
147,Maplewood,16000US2740382,"Maplewood, MN",Maplewood,Maplewood,Ramsey,MN,06000US2712340382,"Maplewood city, Ramsey County, MN",,inner suburbs,y,city,
148,Little Canada,16000US2737502,"Little Canada, MN",Little Canada,,Ramsey,MN,06000US2712337502,"Little Canada city, Ramsey County, MN",,inner suburbs,y,city,
149,Lauderdale,16000US2735738,"Lauderdale, MN",Lauderdale,,Ramsey,MN,06000US2712335738,"Lauderdale city, Ramsey County, MN",,inner suburbs,y,city,
150,Gem Lake,16000US2723318,"Gem Lake, MN",Gem Lake,,Ramsey,MN,06000US2712323318,"Gem Lake city, Ramsey County, MN",,inner suburbs,y,city,
151,Falcon Heights,16000US2720420,"Falcon Heights, MN",Falcon Heights,,Ramsey,MN,06000US2712320420,"Falcon Heights city, Ramsey County, MN",,inner suburbs,y,city,
152,Arden Hills,16000US2702026,"Arden Hills, MN",Arden Hills,,Ramsey,MN,06000US2712302026,"Arden Hills city, Ramsey County, MN",,inner suburbs,y,city,
153,West Saint Paul,16000US2769700,"West St. Paul, MN",West St. Paul,West Saint Paul,"Ramsey, Dakota",MN,06000US2703769700,"West St. Paul city, Dakota County, MN",2,inner suburbs,y,city,
